age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,contact_month,contact_year,id_,income,kidhome,teenhome,dt_customer,numwebvisitsmonth,age_group
29,blue-collar,single,high_school,no,no,yes,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2016,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,102006,0,1,2012-03-24,18,18-30
57,housemaid,divorced,basic_4y,no,yes,no,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2015,54b1ea8a-a909-45d9-9562-775b64ac9c29,140801,2,1,2012-02-11,32,46-60
35,blue-collar,married,basic_6y,no,yes,no,telephone,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2016,3a7b7570-aba9-40bc-9f80-3433d064b5b7,73262,2,2,2012-09-10,27,31-45
54,retired,married,basic_9y,unknown,yes,yes,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2016,c93f0774-c122-421b-ac44-2041dcc43609,117422,1,2,2012-04-05,15,46-60
35,blue-collar,married,basic_6y,no,yes,no,telephone,312,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,2,2018,8f63b4b2-6190-4fbe-a041-b0c472c596c7,70235,1,1,2012-03-11,27,31-45
50,blue-collar,married,basic_9y,no,yes,yes,telephone,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2018,4b568fd1-8690-48a4-a1e5-7497bb533047,99745,2,2,2012-12-11,20,46-60
39,management,single,basic_9y,unknown,no,no,telephone,195,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,7,2017,74bf1569-4bdb-49e4-98ba-c1c607d90596,173275,2,0,2012-04-17,26,31-45
30,unemployed,married,high_school,no,no,no,telephone,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,4,2017,e9170af6-b4f8-4700-b954-836f94372fd8,32331,1,2,2012-02-27,28,18-30
55,blue-collar,married,basic_4y,unknown,yes,no,telephone,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2016,47591c83-e88b-40c2-bb8e-de40b94a44cb,158116,0,2,2012-10-08,21,46-60
55,retired,single,high_school,no,yes,no,telephone,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2019,1c85ef8a-60a1-424d-804c-f712ccd612cc,38474,0,0,2012-03-20,2,46-60
37,administrative,married,high_school,no,yes,no,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2017,2a14bcd3-a981-45c2-ac76-79323567627c,49728,1,2,2012-02-07,12,31-45
35,technician,married,university_degree,no,no,yes,telephone,99,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,3,2018,c298253f-fcd6-45cb-a6b0-9815ec3e7c13,176324,1,0,2012-04-04,1,31-45
39,self-employed,married,basic_9y,unknown,no,no,telephone,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,11,2016,b4861606-8206-4f41-acd5-63b48d5596a1,118851,0,2,2012-02-08,30,31-45
54,technician,single,university_degree,unknown,no,no,telephone,255,2,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,12,2016,f52b8aff-2bab-496e-9b18-95925894c0ed,54609,1,1,2012-01-08,25,46-60
55,unknown,married,university_degree,unknown,unknown,unknown,telephone,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2015,943bc97d-2618-4ba3-b2dc-5a3d1571446a,75488,1,1,2012-08-30,26,46-60
46,administrative,married,unknown,no,no,no,telephone,348,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,12,2019,61bec99d-c1d2-4231-aa6a-37a002c9af42,172888,1,2,2012-11-01,10,46-60
59,technician,married,unknown,no,yes,no,telephone,386,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,4,2019,9eaba08c-51a8-477f-93b6-ad65fb0b6f03,90838,1,0,2012-05-10,7,46-60
49,blue-collar,married,unknown,no,no,no,telephone,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2019,69cb4917-d4e6-456f-a840-c5c411bac44c,20361,2,0,2012-11-14,32,46-60
54,management,married,basic_4y,unknown,yes,no,telephone,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2019,a028192c-3c95-4935-aa95-06515e5fd38d,128876,0,2,2012-10-06,1,46-60
55,unknown,married,basic_4y,unknown,yes,no,telephone,336,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,2,2018,7aeeda6f-95df-402b-a8d8-817764f4dafe,73868,1,1,2012-02-29,14,46-60
34,services,married,high_school,no,no,no,telephone,365,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,10,2019,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,83851,1,1,2012-10-18,12,31-45
52,technician,married,basic_9y,no,yes,no,telephone,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2015,a7eb98b2-0163-4375-a6a5-40b5f2ce6428,71669,2,2,2012-04-16,26,46-60
41,administrative,married,university_degree,no,yes,no,telephone,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,4,2019,a9280a68-5b1e-448c-98c9-271eba3e4a30,50412,0,0,2012-05-05,2,31-45
56,technician,married,basic_4y,no,yes,no,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,4,2017,b1d3e69b-43f5-4983-ba00-37dcc3979e84,35940,1,0,2012-11-15,15,46-60
58,management,unknown,university_degree,no,yes,no,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2015,e03dc123-10b3-42f2-9d18-c26a53c7a473,131696,2,0,2012-12-23,3,46-60
32,entrepreneur,married,high_school,no,yes,no,telephone,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2018,41f0832d-fea4-47dc-81c3-ad5a528a2fb7,55182,2,0,2012-11-20,7,31-45
38,administrative,single,professional_course,no,no,no,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,3,2015,dd9279a9-2d85-4f87-b87b-560f5224d46a,170859,2,2,2012-04-11,28,31-45
44,administrative,married,university_degree,unknown,yes,no,telephone,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2015,f2e69637-04fb-4d2d-813e-b15e061776e9,122815,2,1,2012-05-14,28,31-45
42,technician,single,professional_course,unknown,no,no,telephone,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2017,01d47e8f-32e7-4fd8-8188-2761a09f42bb,52087,0,2,2012-03-09,13,31-45
57,administrative,married,university_degree,no,yes,yes,telephone,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2016,170ae51e-abde-4832-a157-f1bf0f630e83,136434,1,1,2012-07-03,3,46-60
40,blue-collar,married,basic_9y,no,no,yes,telephone,178,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,8,2017,6beb1eea-2343-42c1-9881-378c64cf08e5,48855,2,1,2012-08-21,11,31-45
35,administrative,married,university_degree,no,yes,no,telephone,355,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,12,2015,6155f7ed-fc77-4de5-8f66-386c9a85d74a,14091,1,2,2012-03-23,15,31-45
45,blue-collar,married,basic_9y,no,yes,no,telephone,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2018,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,49376,1,2,2012-11-21,18,31-45
54,administrative,married,high_school,no,no,no,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2019,89d515a3-7191-4a7c-b166-692bd3eb0e2e,141524,1,2,2012-01-10,32,46-60
39,housemaid,married,basic_4y,no,no,yes,telephone,266,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,10,2015,d43355a7-b518-46f4-8713-b9daba3e586f,139751,0,2,2012-06-23,15,31-45
60,administrative,married,high_school,no,no,no,telephone,253,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,7,2019,b575bf38-fde5-4980-a253-e5d2a7c6622d,175358,2,1,2012-07-27,8,46-60
55,blue-collar,married,basic_4y,unknown,no,no,telephone,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2016,a53d19c6-cc04-4e56-936c-2af714cb0691,171806,2,1,2012-04-01,26,46-60
50,management,married,university_degree,unknown,no,yes,telephone,161,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,12,2018,3cd59535-e982-46ec-8bdb-5540b42f98c7,21488,1,2,2012-07-13,29,46-60
45,services,married,high_school,unknown,yes,no,telephone,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,11,2018,b9e57bd9-32b6-48db-be0b-399968bb4458,165897,1,2,2012-11-28,3,31-45
55,unemployed,married,professional_course,unknown,yes,yes,telephone,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2018,c70bda4e-ab87-48ad-a248-c654a465ba18,20845,2,2,2012-09-27,1,46-60
25,technician,single,university_degree,no,yes,no,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,11,2018,df2754f0-ab9d-4392-969f-255be30bcf95,42782,0,1,2012-05-14,15,18-30
51,blue-collar,married,basic_9y,no,yes,no,telephone,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,4,2015,356fc69e-a248-4af2-ae28-c2c8d3aa779d,76853,2,0,2012-11-12,23,46-60
42,blue-collar,married,basic_6y,unknown,no,no,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2017,4d0f692b-c599-45a2-b496-3b4fb0ca3a41,178376,1,1,2012-06-10,18,31-45
48,administrative,married,high_school,no,no,no,telephone,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2017,d8ea4803-4a98-402e-a522-03302ef278b5,83568,0,2,2012-01-06,18,46-60
37,administrative,married,university_degree,no,no,no,telephone,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2019,472c21b6-733b-448a-b97e-0899d471b051,114438,1,0,2012-06-06,32,31-45
56,administrative,married,basic_9y,no,yes,no,telephone,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,2,2017,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7,130764,1,0,2012-03-30,8,46-60
41,management,married,basic_6y,no,no,no,telephone,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2018,c9264446-deae-4147-87a6-7f6d53a50af0,55445,0,2,2012-10-05,21,31-45
44,management,divorced,university_degree,no,yes,no,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,1,2016,5df79f8e-3ec3-48f9-bbff-b21447c79099,77947,1,1,2012-04-29,11,31-45
47,administrative,married,university_degree,unknown,yes,no,telephone,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2018,6444da89-9436-4b09-ad38-159551c260e3,67439,0,1,2012-03-05,9,46-60
57,unknown,married,unknown,unknown,no,no,telephone,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2018,6e4cd355-435a-4d7b-b2f5-92d64c706a05,80033,0,0,2012-01-15,11,46-60
37,administrative,married,university_degree,unknown,yes,no,telephone,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2015,d3fd430a-83ab-48fb-ad0f-29219a273d56,93745,0,2,2012-07-16,27,31-45
41,blue-collar,divorced,basic_4y,unknown,yes,no,telephone,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,2,2017,52fe0cf8-74be-4760-a5fe-ac78c82cfe52,51945,1,1,2012-05-16,32,31-45
55,technician,married,university_degree,no,no,no,telephone,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2017,fd488945-dcb1-4c93-ae06-2b2378db0bd0,177873,0,0,2012-07-13,11,46-60
55,management,married,unknown,unknown,yes,no,telephone,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2017,be6c8341-fb40-4158-8d62-81fb98648760,167586,0,1,2012-02-12,18,46-60
42,blue-collar,married,basic_9y,unknown,no,no,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,2,2016,f583f88c-58de-40db-bcae-b2b9105fa153,70480,1,2,2012-08-19,13,31-45
50,blue-collar,married,basic_4y,unknown,yes,no,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2018,cc1029bd-87da-4de0-8735-a3b090df62c0,18714,2,2,2012-08-10,23,46-60
51,blue-collar,married,basic_4y,unknown,unknown,unknown,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,5,2015,cf01e33c-2eb7-4020-8c72-879d3489bfa1,74584,0,1,2012-08-27,14,46-60
38,administrative,married,high_school,unknown,no,no,telephone,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2019,e6382798-c0b1-4337-af1b-ee9196f5c831,7462,2,2,2012-08-20,21,31-45
49,entrepreneur,married,university_degree,unknown,yes,no,telephone,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,11,2016,d3ea4624-cbe7-40bf-8324-cc3c763f0e80,153359,0,2,2012-11-15,9,46-60
38,technician,single,university_degree,no,no,yes,telephone,20,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,9,2016,d652e74e-8e59-4eb0-ada7-512f3d11ea40,138685,2,0,2012-12-25,20,31-45
31,administrative,divorced,high_school,no,no,no,telephone,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2017,18060794-5ed8-44ab-8b30-ceb9cc3222fd,116608,1,0,2012-07-20,13,31-45
39,administrative,married,university_degree,no,yes,yes,telephone,192,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,11,2018,1246ce73-1096-4b01-b971-0bffb7ca7fee,99031,0,0,2012-08-28,21,31-45
49,technician,married,basic_9y,no,no,no,telephone,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,5,2015,01fe1411-bb08-4ae3-8252-0e7385580955,93507,2,1,2012-10-19,15,46-60
34,administrative,married,high_school,no,yes,no,telephone,188,2,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,10,2016,1a7cb055-189b-4261-a521-bd11ec6ab304,68707,1,0,2012-02-09,16,31-45
35,administrative,married,university_degree,no,yes,no,telephone,180,2,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,8,2016,a068e668-ee92-47ab-94b3-2c6f0660c267,119162,1,0,2012-07-09,1,31-45
60,administrative,married,unknown,unknown,no,yes,telephone,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,2,2019,27c0a2c1-7538-4097-a0c8-501fbf55dfee,111496,2,0,2012-02-18,19,46-60
33,unemployed,married,basic_9y,no,no,no,telephone,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2018,3e29229f-9ee7-455c-b623-63250793db56,95189,0,0,2012-07-18,22,31-45
42,blue-collar,married,basic_6y,no,no,yes,telephone,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2017,8e84714f-4768-41e6-bc2b-2dff581e12b8,45768,1,1,2012-06-17,21,31-45
45,services,married,professional_course,no,yes,no,telephone,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2015,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56,122783,0,0,2012-11-03,3,31-45
42,management,married,university_degree,no,no,no,telephone,426,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,11,2018,9eada552-2e0f-4e25-bc52-86b419bcf3b8,98678,0,0,2012-12-02,31,31-45
53,administrative,divorced,university_degree,unknown,no,no,telephone,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2016,3da2368a-8b67-4b7e-bf51-0499b71369dc,21072,0,0,2012-07-09,21,46-60
37,technician,single,professional_course,no,no,no,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2016,c96f9121-6f02-44bd-aa3c-4da573414177,60378,1,2,2012-09-14,18,31-45
44,blue-collar,married,basic_6y,no,no,no,telephone,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2018,73dae94a-e882-4845-aa30-0aaff25d2a17,145871,0,2,2012-08-13,8,31-45
54,services,married,unknown,no,yes,no,telephone,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2018,7aa43513-2461-455c-9430-9afb22f3a22d,109725,1,0,2012-08-03,13,46-60
49,blue-collar,married,basic_4y,no,no,no,telephone,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,12,2017,18b0c404-331a-4a68-90bc-0494a082f62d,96711,0,0,2012-03-07,29,46-60
54,services,married,unknown,no,no,no,telephone,400,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,12,2015,012204f4-fca9-4bcb-a64d-808135727728,12244,0,0,2012-01-26,28,46-60
52,administrative,divorced,university_degree,no,no,no,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,4,2018,33803ffa-fb03-4f0f-9f5c-3f2b9a28bc93,36606,1,1,2012-06-27,27,46-60
52,administrative,divorced,university_degree,no,no,no,telephone,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2015,834fda51-1ba3-4290-8be6-b59479dfb43b,154051,2,2,2012-11-09,18,46-60
43,services,single,high_school,unknown,no,no,telephone,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2017,4dfcd68a-ccd2-4388-812c-c243a4b60254,29727,1,2,2012-09-28,2,31-45
34,housemaid,married,basic_6y,no,yes,no,telephone,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2016,f2ab895d-7487-4b68-b9e8-7ab8e734bd47,54061,2,2,2012-05-23,7,31-45
35,administrative,married,high_school,no,yes,no,telephone,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,11,2019,9375d7ce-9370-402c-aed1-a4c1e814aaba,127139,0,0,2012-02-11,1,31-45
42,entrepreneur,married,unknown,unknown,yes,no,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,10,2019,5c79786f-6162-4496-8a30-b681f4115768,85638,1,0,2012-12-22,15,31-45
43,technician,married,unknown,unknown,yes,yes,telephone,325,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,2,2019,ccb97836-0739-467e-bc99-d030ae3b52e4,170502,0,0,2012-10-22,3,31-45
60,retired,divorced,university_degree,unknown,no,no,telephone,514,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,3,2019,383c6463-0de7-4a43-a1c1-bbd1203af6dd,50221,2,2,2012-09-26,5,46-60
58,unemployed,married,basic_4y,unknown,no,no,telephone,849,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,4,2016,026d1365-12d4-4fec-b398-139a59b46d8d,163061,0,1,2012-02-21,7,46-60
35,services,divorced,high_school,no,yes,no,telephone,194,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2017,f010a64d-46ea-4e74-9c20-c0b18f55a756,155704,2,1,2012-04-15,28,31-45
55,blue-collar,married,basic_9y,unknown,yes,no,telephone,212,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2017,1e0c7084-f1b2-439a-bcba-5e23fc340b4c,20900,0,0,2012-01-25,8,46-60
36,blue-collar,married,high_school,no,no,no,telephone,286,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2016,dd49237a-fec1-4149-ba1e-672559cfe5ef,91718,0,1,2012-04-27,28,31-45
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,518,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,1,2019,4036772a-d870-4694-b71b-d95ff95f5d58,36342,2,0,2012-09-30,11,46-60
56,administrative,married,unknown,no,yes,no,telephone,364,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2018,0616394c-03be-45be-b1c0-648ac058cdb3,162740,0,1,2012-07-17,22,46-60
50,administrative,married,basic_6y,no,no,no,telephone,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2017,9615fdd6-3e94-4e42-87c2-8bd7433e77e8,134274,0,2,2012-11-28,1,46-60
31,technician,divorced,professional_course,no,yes,yes,telephone,78,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2019,d2118bc5-42a8-4e57-9c51-3a3606f58353,85870,1,0,2012-06-13,16,31-45
56,retired,married,basic_4y,no,yes,no,telephone,102,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2016,d1a54bc7-e470-42cf-8661-815cf7c95eb4,50634,1,1,2012-03-19,26,46-60
41,technician,married,professional_course,unknown,yes,no,telephone,579,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,5,2018,01e82e78-a7e3-4189-98e6-53acbe30582b,7888,2,2,2012-03-19,24,31-45
37,blue-collar,married,basic_6y,no,yes,yes,telephone,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2019,62cd0f07-0a57-4288-b485-df5984361fcd,85274,2,1,2012-12-12,5,31-45
41,technician,married,professional_course,unknown,no,no,telephone,677,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,3,2015,59f10b5e-f282-4c16-aa69-53f101088f27,169322,0,1,2012-09-19,1,31-45
35,blue-collar,married,unknown,no,yes,no,telephone,267,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,9,2019,091e4503-9fff-4a60-8050-9f56a0390aea,106503,1,0,2012-06-20,16,31-45
37,blue-collar,married,basic_6y,no,yes,no,telephone,345,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2015,5a23a54e-1290-4b3b-a2c3-bafe6d0536c4,126858,1,2,2012-11-29,9,31-45
52,management,married,university_degree,no,no,no,telephone,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2019,fc5bce08-121f-46ea-af15-58252a87ece3,130178,2,1,2012-10-22,13,46-60
39,management,divorced,university_degree,no,no,no,telephone,207,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,4,2018,4e572940-5cec-46d1-90ab-9792194859bb,80424,0,2,2012-09-03,21,31-45
39,housemaid,married,basic_4y,unknown,no,no,telephone,69,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2019,5d3a50ca-b167-40f9-98b1-bff26790bdde,51265,0,0,2012-05-14,12,31-45
56,blue-collar,married,basic_4y,unknown,no,no,telephone,100,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,11,2018,030c5ca6-e6e8-4548-90f3-e5363acffdab,104559,1,0,2012-08-23,10,46-60
34,services,married,high_school,no,yes,no,telephone,125,2,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,8,2017,5e68aacd-98c0-4d84-a753-9520c5532066,33226,2,0,2012-09-23,16,31-45
39,management,married,university_degree,no,yes,no,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,1,2016,1c6aa6a6-14df-49cb-b790-7367ccf09592,64183,0,1,2012-11-06,12,31-45
53,blue-collar,married,basic_4y,no,yes,no,telephone,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2018,fc8c31b4-7989-43f6-895b-3f377f4e33d6,134200,1,1,2012-12-19,24,46-60
38,unknown,divorced,high_school,unknown,yes,no,telephone,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,1,2017,fa3921cc-578c-4978-b680-4ea6a7c50c68,105920,1,0,2012-08-30,30,31-45
42,blue-collar,married,basic_4y,unknown,yes,no,telephone,528,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,8,2016,f41b6383-8ed5-4b60-a670-a58ca41fc719,39463,2,2,2012-11-09,14,31-45
42,blue-collar,married,basic_4y,unknown,no,no,telephone,541,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,6,2017,087536ed-a062-4bf4-970f-c0e191c7a258,21484,2,0,2012-04-19,31,31-45
40,administrative,married,university_degree,unknown,yes,no,telephone,163,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,5,2015,a775580f-d9cc-4cca-8c1e-4ed986bc9bb9,86345,0,2,2012-01-04,22,31-45
60,blue-collar,married,basic_9y,unknown,no,no,telephone,301,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,7,2017,8ac57645-1536-4f7b-8c73-4e5aa28771a3,105105,2,2,2012-06-21,1,46-60
56,entrepreneur,married,unknown,unknown,yes,no,telephone,46,1,999,0,nonexistent,1.1,93.994,-36.4,,5191,no,9,2015,c45a383e-7730-4116-ba01-ee6a30a50347,164145,0,2,2012-11-17,8,46-60
39,services,divorced,high_school,unknown,yes,no,telephone,52,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,3,2019,a4f268b0-9061-41e2-a086-a3c1e2156e91,106467,1,2,2012-05-01,30,31-45
